VDS,IDS
0.019065471836137528,6.242460796139928e-07
0.11946781272860277,2.6598311218335343e-06
0.1887344550109729,4.530759951749095e-06
0.30052121433796636,6.334740651387213e-06
0.3837783467446964,8.13329312424608e-06
0.46182333577176293,9.580820265379974e-06
0.5619513533284565,1.1300663449939686e-05
0.6535753474762253,1.3205066344993967e-05
0.7489027066569129,1.4896863691194208e-05
0.8535570592538405,1.6672798552472858e-05
0.9553310168251645,1.8352834740651387e-05
1.0764447695683979,2.0123341375150784e-05
1.2018105340160936,2.183142340168878e-05
1.3373262618873445,2.3472557297949337e-05
1.4843635698610094,2.5281061519903498e-05
1.637710314557425,2.704071170084439e-05
1.8023043160204828,2.8688178528347406e-05
1.9590801024140452,3.0303075995174906e-05
2.137801755669349,3.169722557297949e-05
2.3534198975859546,3.320446320868516e-05
2.5709583028529623,3.469903498190591e-05
2.791788588149232,3.5959288299155605e-05
3.0039776883686904,3.696622436670687e-05
3.222201901975128,3.780398069963811e-05
3.448518653986832,3.86978287092883e-05
3.666194220921726,3.9543727382388416e-05
3.9081474030724213,4.02294933655006e-05
4.151060716898317,4.0847406513872135e-05
4.413999634235552,4.1556694813027744e-05
4.675292611558156,4.205518697225573e-05
4.943032187271397,4.2631483715319656e-05
5.219412948061448,4.3132689987937276e-05
5.464932333577176,4.358866103739445e-05
5.757361009509875,4.4094390832328105e-05
6.046360643745428,4.458474065138721e-05
6.331519751280175,4.510313630880579e-05
6.647677395757132,4.5454161640530756e-05
6.951216166788588,4.591194209891435e-05
7.2317117776152156,4.632539203860072e-05
7.543205925384052,4.6869119420989144e-05
7.836320409656181,4.717671893848009e-05
8.157004389173371,4.763359469240048e-05
8.483860643745427,4.7989143546441495e-05
8.790279809802486,4.8448733413751505e-05
9.153072421360644,4.879523522316043e-05
9.446735552304315,4.92086851628468e-05
9.737929773226043,4.964294330518697e-05
10.037216532553035,4.989716525934861e-05
10.341303950256034,5.018576598311218e-05
10.622759692757864,5.060916767189385e-05
10.894476956839794,5.0958383594692396e-05
11.188140087783466,5.13962605548854e-05
11.462874908558888,5.1821471652593484e-05
11.734592172640818,5.220778045838359e-05
11.979837234820774,5.243124246079614e-05
